Order_ID,Date,Month,Gender,Age,City,Category,Sales,Quantity,Discount,Profit,Rating,Payment_Mode
ORD1001,01-01-2026,Jan,Male,44,Delhi,Beauty,416.42,3,0.12,81.97,3.4,UPI
ORD1002,02-01-2026,Jan,Female,43,Ahmedabad,Beauty,772.59,7,0.17,278.65,4.1,Credit Card
ORD1003,03-01-2026,Jan,Male,33,Vadodara,Clothing,735.13,6,0.12,183.52,3.6,UPI
ORD1004,04-01-2026,Jan,Male,29,Delhi,Clothing,689.51,4,0.23,124.76,4.8,Cash
ORD1005,05-01-2026,Jan,Male,20,Pune,Clothing,281.21,2,0.17,53.2,3.6,Cash
ORD1006,06-01-2026,Jan,Female,46,Mumbai,Furniture,2461.28,6,0.2,319.77,3.7,Net Banking
ORD1007,07-01-2026,Jan,Male,33,Mumbai,Furniture,841.95,2,0.26,125.49,4.3,UPI
ORD1008,08-01-2026,Jan,Male,31,Surat,Grocery,145.4,2,0.2,-7.43,3.7,Debit Card
ORD1009,09-01-2026,Jan,Male,47,Surat,Grocery,143.74,2,0.21,46.28,3.2,Credit Card
ORD1010,10-01-2026,Jan,Female,26,Pune,Grocery,543.29,6,0.2,17.55,3.3,Credit Card
ORD1011,11-01-2026,Jan,Male,43,Pune,Grocery,568.84,7,0.13,90.83,4.3,Credit Card
ORD1012,12-01-2026,Jan,Male,38,Delhi,Electronics,2086.14,3,0.12,314.4,3.1,Credit Card
ORD1013,13-01-2026,Jan,Male,25,Delhi,Clothing,423.34,3,0.31,82.07,4.9,Debit Card
ORD1014,14-01-2026,Jan,Male,34,Vadodara,Electronics,5406.93,7,0.21,631.15,3.6,Debit Card
ORD1015,15-01-2026,Jan,Female,45,Vadodara,Clothing,361.13,2,0.09,130.29,4.4,Credit Card
ORD1016,16-01-2026,Jan,Male,43,Pune,Clothing,692.91,4,0.17,269.76,3.6,UPI
ORD1017,17-01-2026,Jan,Female,50,Mumbai,Beauty,157.13,1,0.12,23.07,3.4,UPI
ORD1018,18-01-2026,Jan,Female,38,Mumbai,Furniture,2041.97,6,0.33,216.07,4.2,UPI
ORD1019,19-01-2026,Jan,Female,65,Pune,Electronics,546.35,1,0,153.25,4.7,Net Banking
ORD1020,20-01-2026,Jan,Male,26,Delhi,Electronics,3689.81,7,0.08,506.83,3.8,UPI
ORD1021,21-01-2026,Jan,Female,31,Surat,Grocery,276.83,4,0.13,66.72,4,UPI
ORD1022,22-01-2026,Jan,Male,34,Surat,Clothing,683.43,6,0.17,179.74,4.5,UPI
ORD1023,23-01-2026,Jan,Female,21,Ahmedabad,Electronics,3438.05,7,0.3,226.77,4.5,Cash
ORD1024,24-01-2026,Jan,Female,45,Mumbai,Electronics,1062.54,2,0.03,132.39,4,Net Banking
ORD1025,25-01-2026,Jan,Female,44,Ahmedabad,Grocery,203.87,3,0.28,-19.05,3.7,Cash
ORD1026,26-01-2026,Jan,Female,35,Vadodara,Electronics,611.73,1,0.02,25.86,4.1,Debit Card
ORD1027,27-01-2026,Jan,Female,30,Mumbai,Grocery,316.18,5,0.29,-11.28,3.9,Credit Card
ORD1028,28-01-2026,Jan,Female,20,Surat,Grocery,502.31,5,0.02,78.55,4.2,UPI
ORD1029,29-01-2026,Jan,Female,27,Mumbai,Electronics,2225.29,4,0.01,376.09,3.2,Net Banking
